mountain_id,mountain_name,pref,mountain_name_kana,mountain_lat,mountain_lng,trailhead_name,trailhead_lat,trailhead_lng,access_notes,parking_spaces,public_transport,elevation_m,description,notes,source_url
A5XS8KTYobBZkhDCJ4n0,東赤石山,愛媛県,ひがしあかいしやま,,,,,,,,,,,,
BI6fRSKjdUlE7XDXx83v,笹ヶ峰,愛媛県・高知県,ささがみね,,,,,,,,,,,,
FufenYjHeqiKWDEtZU1j,焼石岳,岩手県,やけいしだけ,,,,,,,,,,,,
LOsWD31Cj9iX7f2t0cdr,姫神山,岩手県,ひめかみやま,,,,,,,,,,,,
gGky3P0NXFRAu4jEaKrh,栗駒山,岩手県・宮城県,くりこまやま,,,,,,,,,,,,
J5J3WFzJ8dudEZDbzT3o,和賀岳,岩手県・秋田県,わがだけ,,,,,,,,,,,,
6rUVsarDnd33wMGEPfxF,位山,岐阜県,くらいやま,,,,,,,,,,,,
8MufmIahMvPgWli7yZmQ,大日ヶ岳,岐阜県,だいにちがだけ,,,,,,,,,,,,
eXEk7zMOCMKaYAeb6Q6W,能郷白山,岐阜県,のうごうはくさん,,,,,,,,,,,,
LkD59V6eoQ4H2Mssi82L,高千穂峰,宮崎県,たかちほのみね,,,,,,,,,,,,
RAlbtCRizobHdLM4AVKv,大崩山,宮崎県,おおくえやま,,,,,,,,,,,,
Y9jkumI6RiWcS2q9OT1J,尾鈴山,宮崎県,おすずやま,,,,,,,,,,,,
hZu6fGALGqUzzc8UKqU3,船形山,宮城県・山形県,ふながたやま,,,,,,,,,,,,
JYkx8mOJ7G7vKSBxWJJ0,市房山,熊本県・宮崎県,いちふさやま,,,,,,,,,,,,
in7PQAEJuvLv6ScwkNKB,榛名山,群馬県,はるなさん,,,,,,,,,,,,
eDLxXcYo5cZ7aIY9jR9O,浅間隠山,群馬県,あさまかくしやま,,,,,,,,,,,,
D7C60MpymgEUUko6BYD7,妙義山,群馬県,みょうぎさん,,,,,,,,,,,,
PWlpSvl4GJqlC4L5OiGO,仙ノ倉山,群馬県・新潟県,せんのくらやま,,,,,,,,,,,,
thChuPo8NYIt9SiaOBbh,荒船山,群馬県・長野県,あらふねやま,,,,,,,,,,,,
1mybK2r6Q3L3YRcDZMDd,白砂山,群馬県・長野県,しらすなやま,,,,,,,,,,,,
Pk3qdDQ0NdXTYP2a0tan,白石山,埼玉県,しろいしやま,,,,,,,,,,,,
j1sw5C6NGIL7AkRsc3jS,武甲山,埼玉県,ぶこうさん,,,,,,,,,,,,
5ApmShJLvPO61PsYUIZn,以東岳,山形県・新潟県,いとうだけ,,,,,,,,,,,,
5VrXeyFg71XxQKxnORlI,茅ヶ岳,山梨県,かやがたけ,,,,,,,,,,,,
jICCIcEjZJW7KCv0tfnQ,乾徳山,山梨県,けんとくさん,,,,,,,,,,,,
ye4WLECyhlkxsRQvvPVv,櫛形山,山梨県,くしがたやま,,,,,,,,,,,,
kVIqFFY2NDUb3sLwdspK,御正体山,山梨県,みしょうたいやま,,,,,,,,,,,,
OrH2I047EtCr1Bv1YcvU,三ッ峠山,山梨県,みつとうげやま,,,,,,,,,,,,
QWTAgUu2gdnH95oGRTUK,七面山,山梨県,しちめんざん,,,,,,,,,,,,
kMKbifhAmFr8in1smtMD,毛無山,山梨県,けなしさん,,,,,,,,,,,,
pz8zU0KCVINN9xOPmc6b,農鳥岳,山梨県・静岡県,のうとりだけ,,,,,,,,,,,,
McIwmzpZM5cqFNHcceUn,笊ヶ岳,山梨県・静岡県,ざるがたけ,,,,,,,,,,,,
OuEyUtlWkVb5yZeBGN2H,鋸岳,山梨県・長野県,のこぎりだけ,,,,,,,,,,,,
NYoD0k4HMF8ikO4MMgiJ,武奈ヶ岳,滋賀県,ぶながたけ,,,,,,,,,,,,
Y8WB9eHdbGW6YlHUXauD,御在所岳,滋賀県・三重県,ございしょだけ,,,,,,,,,,,,
Gmh2NkD9cwdBx489gens,御岳,鹿児島県,おんたけ,,,,,,,,,,,,
nmw6b8WDGqUdhfyZ4TmG,駒ヶ岳,秋田県,こまがたけ,,,,,,,,,,,,
anbkR2hAQoYUMyFxqJDt,森吉山,秋田県,もりよしざん,,,,,,,,,,,,
rkS1xHuRGeu0Dhh20nAf,神室山,秋田県・山形県,かむろさん,,,,,,,,,,,,
ulWM5Jxei4AwCRPCnhdB,御神楽岳,新潟県,みかぐらだけ,,,,,,,,,,,,
shxsPtWdDyXpN1oRJ0AL,荒沢岳,新潟県,あらさわだけ,,,,,,,,,,,,
y0mMNXYJT6w3J7MgLcVf,守門岳,新潟県,すもんだけ,,,,,,,,,,,,
lBI3EKfiM0k2kHJ4B5Iy,中ノ岳,新潟県,なかのだけ,,,,,,,,,,,,
Xn9neIbd6xijJSI56Ofe,二王子岳,新潟県,にのうじだけ,,,,,,,,,,,,
pe3G8fi5txiw8yYpCbSV,八海山,新潟県,はっかいさん,,,,,,,,,,,,
ksTrTd9vnjrevb62K7AC,杁差岳,新潟県,えぶりさしだけ,,,,,,,,,,,,
4o0FEKUa3uf8IbmvN2lA,佐武流山,新潟県・長野県,さぶりゅうやま,,,,,,,,,,,,
8HD4qah8xWrLEosooSYV,雪倉岳,新潟県・富山県,ゆきくらだけ,,,,,,,,,,,,
b0nfvQOEhyhXGzydDzBb,白神岳,青森県,しらかみだけ,,,,,,,,,,,,
A7eWJfUEEDwIhSLsNLQC,愛鷹山,静岡県,あしたかやま,,,,,,,,,,,,
O1NgMcriECelfeR4thqx,上河内岳,静岡県,かみこうちだけ,,,,,,,,,,,,
Ebgx0IW3u83hM0bLrH4W,大無間山,静岡県,だいむげんざん,,,,,,,,,,,,
CQoqi5H204JTE69LYUdS,笈ヶ岳,石川県・富山県,おいずるがたけ,,,,,,,,,,,,
lWHzKRqsxIWuZC82KBac,由布岳,大分県,ゆふだけ,,,,,,,,,,,,
inTqUcpKV3gqoijdHgp5,雲仙岳,長崎県,うんぜんだけ,,,,,,,,,,,,
XvCgeruq3eHhzVZruph9,安平路山,長野県,あんぺいじやま,,,,,,,,,,,,
uY32jwazFlF5ouEhSOUN,燕岳,長野県,つばくろだけ,,,,,,,,,,,,
2DxjAVOmXF46xK1bKi1u,霞沢岳,長野県,かすみざわだけ,,,,,,,,,,,,
nWi64BvEmznsimLoX72P,餓鬼岳,長野県,がきだけ,,,,,,,,,,,,
xDesbVS7jqtbJzxBWx0e,岩菅山,長野県,いわすげやま,,,,,,,,,,,,
Lf5i5xddnBoeLxNwM2WT,経ヶ岳,長野県,きょうがたけ,,,,,,,,,,,,
bmPkxtJpfumfIgf3qVVp,戸隠山,長野県,とがくしやま,,,,,,,,,,,,
F86Z7ssQFHj9eFSvDgaS,御座山,長野県,おぐらさん,,,,,,,,,,,,
tvDq7tVXlB7LKhbVdHtU,黒姫山,長野県,くろひめやま,,,,,,,,,,,,
B3h5ZNnF6LRovcSov9XH,大天井岳,長野県,おてんしょうだけ,,,,,,,,,,,,
q90UmWIgGj3WHbYStGp9,鳥甲山,長野県,とりかぶとやま,,,,,,,,,,,,
znBgbrUd0TFcEVE1fb4X,天狗岳,長野県,てんぐだけ,,,,,,,,,,,,
G0RP1D7i4mOFFomaWJ7b,南駒ヶ岳,長野県,みなみこまがたけ,,,,,,,,,,,,
QzIvqZtV9fLzlCEncdqJ,飯縄山,長野県,いいづなやま,,,,,,,,,,,,
FU1z8Ja7NGZKQyyREzvi,有明山,長野県,ありあけやま,,,,,,,,,,,,
D6PwLEbK4G2T8HOS2Jpw,小秀山,長野県・岐阜県,こひでやま,,,,,,,,,,,,
